Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
DEKALB-CLAIREMONT EAST (DEC),80,132,0,1152,1451,1,39,53,0,30,33,0,1,0,0,21,26,0,140,136,0,3295,691,415,2604,12.59
DEKALB-CORALWOOD,97,92,0,1185,1451,0,50,62,0,25,24,0,0,2,0,16,17,0,107,116,0,3244,608,385,2636,11.87
DEKALB-CHAMBLEE 2 (CHA),145,178,0,901,984,0,57,60,0,36,35,1,0,1,0,22,32,0,134,130,0,2716,831,567,1885,20.88
DEKALB-DORAVILLE NORTH (DOR),387,358,0,501,480,0,181,167,0,207,214,0,2,4,0,37,37,0,187,173,1,2936,1955,1594,981,54.29
DEKALB-DORAVILLE SOUTH (DOR),68,98,0,291,321,0,111,90,0,56,57,0,3,3,0,12,11,0,74,58,0,1253,641,509,612,40.62
DEKALB-DRESDEN ELEM (CHA),530,567,0,1292,1135,0,209,161,0,225,190,0,3,6,0,52,51,0,338,288,0,5047,2620,1994,2427,39.51
DEKALB-DUNAIRE ELEM,618,775,0,153,145,0,27,29,0,17,15,0,1,1,0,21,20,0,82,70,1,1975,1677,1524,298,77.16
DEKALB-DUNWOODY (DUN),190,337,0,983,1034,0,84,106,0,44,50,0,0,4,0,28,34,0,265,244,1,3404,1387,877,2017,25.76
DEKALB-DUNWOODY HIGH (DUN),22,20,0,812,907,0,31,42,0,12,15,0,1,0,0,11,9,0,62,65,0,2009,290,163,1719,8.11
DEKALB-DRUID HILLS HIGH,105,200,0,1153,1323,1,173,232,2,53,84,0,4,7,0,52,71,0,145,150,10,3765,1288,983,2477,26.11
DEKALB-DUNWOODY LIBRARY ,21,25,0,1022,1135,0,34,38,0,20,16,0,0,1,0,9,19,0,102,89,0,2531,374,183,2157,7.23
DEKALB-EAST LAKE (ATL),934,1292,0,641,720,0,11,22,0,26,28,0,0,2,0,17,18,1,172,152,1,4037,2676,2351,1361,58.24
DEKALB-EMBRY HILLS,127,168,0,612,665,0,53,65,0,61,68,0,2,2,0,29,23,0,82,71,0,2028,751,598,1277,29.49
DEKALB-EPWORTH (ATL),136,112,0,1562,1791,0,29,55,0,30,41,0,0,1,0,37,36,0,189,208,0,4227,874,477,3353,11.28
DEKALB-EVANSDALE ELEM,326,480,0,664,849,0,96,105,0,62,60,0,2,1,0,22,30,0,139,128,1,2965,1452,1184,1513,39.93
DEKALB-EMORY SOUTH,67,83,0,1377,1574,0,59,69,0,33,41,0,3,2,0,22,32,0,216,234,0,3812,861,411,2951,10.78
DEKALB-EMORY ROAD,54,118,1,411,579,1,75,131,0,23,34,0,1,2,0,18,22,0,74,109,0,1653,662,479,991,28.98
DEKALB-FAIRINGTON ELEM,1735,2640,0,32,49,0,2,5,0,10,14,0,1,0,0,32,46,0,181,211,5,4963,4882,4485,81,90.37
DEKALB-FERNBANK ELEM,35,36,0,939,967,0,22,32,0,7,21,0,1,0,0,17,12,0,84,80,0,2253,347,183,1906,8.12
DEKALB-FLAT SHOALS ELEM,837,1115,1,29,35,0,3,3,0,3,8,0,2,0,0,17,9,0,73,61,1,2197,2133,1998,64,90.94
DEKALB-FLAT SHOALS PARKWAY,1278,1752,0,30,37,0,1,4,0,7,6,0,1,0,0,16,17,0,109,112,1,3371,3304,3082,67,91.43
DEKALB-FLAT ROCK ELEM,956,1477,1,27,36,0,1,1,0,1,6,0,0,3,0,11,27,0,102,122,0,2771,2708,2484,63,89.64
DEKALB-FLAT SHOALS,934,1169,0,19,27,0,1,3,0,10,12,0,1,1,0,6,16,0,83,63,2,2347,2301,2153,46,91.73
DEKALB-FLAKES MILL FIRE ,700,974,0,17,28,0,1,0,0,2,4,0,0,0,0,9,16,0,64,62,0,1877,1832,1706,45,90.89
DEKALB-FLAT SHOALS LIBRARY,912,1349,0,25,34,0,1,1,0,6,12,0,1,3,0,14,15,0,79,90,1,2543,2484,2314,59,90.99
DEKALB-FREEDOM MIDDLE,1008,1338,1,134,161,0,20,17,0,21,31,0,1,3,0,20,26,0,125,108,3,3017,2722,2486,295,82.4
DEKALB-GLENNWOOD (DEC),103,340,0,641,942,0,10,57,0,15,48,0,2,1,0,13,44,0,93,114,2,2425,842,633,1583,26.1
DEKALB-GLENHAVEN,603,711,0,68,68,0,19,18,0,8,7,0,0,2,0,10,28,0,51,49,1,1643,1507,1406,136,85.58
DEKALB-GRESHAM ROAD,1010,1358,0,309,300,0,6,12,0,19,21,0,1,1,0,15,26,0,161,145,0,3384,2775,2469,609,72.96
DEKALB-GEORGETOWN SQ (DUN),361,551,0,1116,1322,0,77,79,0,57,72,0,1,2,0,29,57,0,287,336,0,4347,1909,1286,2438,29.58
DEKALB-GLENWOOD ROAD,693,1040,2,50,73,0,3,7,0,9,8,0,0,1,0,8,23,0,75,76,0,2068,1945,1794,123,86.75
DEKALB-HAMBRICK ELEM,1068,1415,0,160,208,0,114,102,0,19,25,0,1,5,0,28,42,0,147,133,4,3471,3103,2819,368,81.22
DEKALB-HAWTHORNE ELEM,526,737,0,995,1014,0,61,64,0,56,73,0,5,4,0,39,63,0,215,225,0,4077,2068,1628,2009,39.93
DEKALB-HENDERSON MILL ELEM,240,369,0,923,1041,0,74,80,0,58,50,0,0,2,0,30,45,0,133,134,1,3180,1216,948,1964,29.81
DEKALB-HUNTLEY HILLS ELEM ,485,710,0,679,739,0,69,90,1,47,56,0,9,5,0,32,54,0,188,196,2,3362,1944,1558,1418,46.34
DEKALB-HUGH HOWELL,231,239,0,501,550,0,28,37,0,10,11,0,0,2,0,23,20,0,71,40,0,1763,712,601,1051,34.09
DEKALB-NARVIE J HARRIS ELEM,1448,1924,1,23,34,0,3,3,0,2,5,0,1,1,0,13,26,0,114,126,2,3726,3669,3427,57,91.98
DEKALB-HARRIS-MARGARET ,156,247,0,611,591,0,63,79,0,30,49,0,2,2,0,20,24,0,128,137,0,2139,937,672,1202,31.42
DEKALB-IDLEWOOD ELEM (TUC),517,667,0,269,347,0,58,64,0,18,29,0,1,2,0,34,20,0,108,87,0,2221,1605,1410,616,63.48
DEKALB-INDIAN CREEK ELEM,639,705,0,218,215,1,114,95,1,17,21,0,2,3,0,37,41,0,141,119,6,2375,1941,1675,434,70.53
DEKALB-JOHNSON ESTATES (ATL),16,12,0,529,538,0,11,14,0,8,10,0,1,1,0,2,7,0,60,44,0,1253,186,82,1067,6.54
DEKALB-JOLLY ELEM,990,1061,0,260,362,0,120,133,0,20,17,0,1,3,0,58,59,0,163,177,3,3427,2805,2462,622,71.84
DEKALB-KELLEY LAKE ELEM,1106,1494,0,83,75,0,1,3,0,7,6,0,1,0,0,18,12,0,100,100,0,3006,2848,2648,158,88.09
DEKALB-KINGSLEY ELEM (DUN),30,33,0,971,1166,0,34,37,0,15,28,0,1,0,0,13,11,0,81,95,2,2517,380,202,2137,8.03
DEKALB-KELLEY CHAPEL ROAD,533,646,0,20,28,0,2,2,0,1,2,0,0,0,0,4,5,0,41,27,1,1312,1264,1195,48,91.08
DEKALB-KING-ML KING JR HIGH,1633,2138,0,28,33,0,3,4,0,4,12,0,0,1,0,18,42,0,146,131,1,4194,4133,3855,61,91.92
DEKALB-KNOLLWOOD,790,1033,0,148,193,0,1,5,0,10,14,0,0,0,0,12,18,0,92,80,1,2397,2056,1883,341,78.56
DEKALB-KITTREDGE ELEM ,50,57,0,843,947,0,26,31,0,16,19,0,0,1,0,14,7,0,96,79,0,2186,396,221,1790,10.11
DEKALB-LAKESIDE HIGH,127,128,0,1188,1263,0,73,74,0,17,32,0,2,1,0,14,25,0,141,104,0,3189,738,493,2451,15.46
DEKALB-LAVISTA ROAD,44,73,0,840,965,1,25,48,0,22,15,0,2,0,0,26,23,0,147,155,0,2386,580,278,1806,11.65
DEKALB-LAVISTA,341,360,0,1015,928,0,77,69,0,52,56,0,4,3,0,31,41,0,240,237,1,3455,1512,1034,1943,29.93
DEKALB-LITHONIA (LIT),398,725,0,41,59,0,1,1,0,21,20,0,0,1,0,7,22,0,46,35,2,1379,1279,1196,100,86.73
DEKALB-LIN-MARY LIN ELEM (ATL),77,80,0,1245,1379,0,29,42,0,25,43,0,1,0,0,17,30,0,193,197,1,3359,735,344,2624,10.24
DEKALB-LITHONIA HIGH,1167,1657,0,28,29,0,1,3,0,9,17,0,0,5,0,19,35,0,116,123,1,3210,3153,2913,57,90.75
DEKALB-LIVSEY ELEM,55,56,0,523,571,0,42,42,0,22,23,0,1,1,0,10,18,0,52,44,0,1460,366,270,1094,18.49
DEKALB-MILLER-ELDRIDGE L ,1196,1563,0,71,76,0,3,8,0,19,28,0,0,3,0,22,41,0,100,103,1,3234,3087,2883,147,89.15
DEKALB-MCNAIR HIGH,951,1209,2,596,530,0,10,16,0,39,30,0,1,3,1,28,38,0,224,179,0,3857,2731,2328,1126,60.36
DEKALB-MARBUT ELEM,1540,2328,1,16,32,0,4,3,0,7,19,0,1,2,0,23,38,0,139,159,4,4316,4268,3966,48,91.89
DEKALB-MCNAIR,864,1036,0,141,187,0,8,4,0,5,9,0,3,0,0,12,15,0,107,87,0,2478,2150,1956,328,78.93
DEKALB-MCLENDON,331,428,0,589,706,0,69,71,0,16,33,0,8,3,0,25,28,0,119,124,2,2552,1257,1012,1295,39.66
DEKALB-MCWILLIAMS,835,1202,0,18,22,0,4,4,0,4,6,0,0,0,0,10,9,0,80,69,0,2263,2223,2074,40,91.65
DEKALB-MEDLOCK,70,88,0,816,1082,0,34,36,0,32,28,0,0,1,0,16,32,0,77,97,0,2409,511,337,1898,13.99
DEKALB-MIDVALE ELEM,62,61,0,771,869,0,55,61,0,16,25,0,0,0,0,15,11,0,58,71,0,2075,435,306,1640,14.75
DEKALB-MILLER GROVE,1483,2221,2,39,49,0,5,12,0,11,22,0,4,2,0,22,43,0,154,172,2,4243,4155,3827,88,90.2
DEKALB-MONTCLAIR ELEM,463,546,1,350,306,0,60,56,1,64,76,0,1,0,0,30,27,0,157,153,2,2293,1637,1325,656,57.78
DEKALB-MONTREAL,221,313,0,401,485,0,42,53,0,20,28,0,2,1,0,20,20,0,71,84,0,1761,875,720,886,40.89
DEKALB-MEADOWVIEW,1272,1496,0,142,144,0,1,6,0,9,16,0,1,1,0,14,25,0,120,120,0,3367,3081,2841,286,84.38
DEKALB-MEMORIAL SOUTH,1040,1349,1,98,90,0,32,35,0,11,22,0,1,5,0,19,32,0,143,142,0,3020,2832,2547,188,84.34
DEKALB-MIDWAY,1020,1217,0,216,307,0,11,6,0,21,15,0,2,4,0,20,17,0,121,121,0,3098,2575,2333,523,75.31
DEKALB-MCNAIR ACADEMY,589,726,0,201,277,0,7,5,0,4,6,0,0,2,0,18,15,0,92,69,0,2011,1533,1372,478,68.22
DEKALB-MOUNT VERNON EAST ,48,49,0,1032,1119,0,48,52,0,11,15,0,2,0,0,16,15,0,91,107,0,2605,454,256,2151,9.83
DEKALB-MATHIS-BOB MATHIS ,1020,1308,0,60,71,0,4,3,0,7,8,0,0,0,0,16,17,0,72,67,1,2654,2523,2383,131,89.79
DEKALB-MOUNT VERNON WEST ,39,62,0,861,985,0,58,64,0,19,23,0,1,1,0,19,14,0,111,107,0,2364,518,300,1846,12.69
DEKALB-METROPOLITAN (ATL),650,699,0,673,706,0,22,14,0,19,22,0,2,0,0,21,33,0,172,159,0,3192,1813,1482,1379,46.43
DEKALB-MONTGOMERY ELEM  ,57,84,0,888,981,0,36,45,0,20,21,0,1,3,0,25,25,0,109,115,0,2410,541,317,1869,13.15
DEKALB-MILLER GROVE ROAD,862,1052,0,22,22,0,0,2,0,3,5,0,0,1,0,6,17,0,60,54,0,2106,2062,1948,44,92.5
DEKALB-MIDVALE ROAD,288,568,0,691,865,0,61,79,0,44,46,0,1,2,0,21,36,0,135,136,0,2973,1417,1146,1556,38.55
DEKALB-MILLER GROVE HIGH,1057,1801,0,19,24,0,8,8,0,10,13,0,0,1,0,13,26,0,108,118,2,3208,3165,2937,43,91.55
DEKALB-NORTH DECATUR,277,379,0,451,581,0,43,60,0,16,20,0,3,6,0,13,20,0,86,123,0,2078,1046,837,1032,40.28
DEKALB-NORTH HAIRSTON,670,889,0,163,175,0,37,40,0,12,10,0,1,0,0,15,36,0,103,79,0,2230,1892,1710,338,76.68
DEKALB-NORTHLAKE,43,44,0,500,657,0,39,38,1,11,8,0,0,0,0,17,20,0,56,59,0,1493,336,221,1157,14.8
DEKALB-NORTH PEACHTREE ,226,281,0,438,454,0,43,48,1,82,101,1,0,1,0,17,22,0,99,100,1,1915,1023,823,892,42.98
DEKALB-OAK GROVE ELEM,80,90,0,838,851,0,61,81,0,27,30,0,1,0,0,21,26,0,92,80,0,2278,589,417,1689,18.31
DEKALB-OAKCLIFF ELEM,218,205,0,262,227,0,200,176,0,140,176,0,2,2,0,30,32,0,133,85,0,1888,1399,1181,489,62.55
DEKALB-OAKHURST (DEC),358,464,0,849,981,0,18,29,0,16,22,0,0,1,0,18,20,0,133,119,0,3028,1198,946,1830,31.24
DEKALB-OAK VIEW ELEM,1744,2474,1,28,33,0,3,5,0,9,19,0,1,0,0,25,39,0,177,167,3,4728,4667,4320,61,91.37
DEKALB-PEACHCREST,693,957,0,148,206,0,5,9,0,22,10,0,0,1,0,13,26,0,68,73,2,2233,1879,1736,354,77.74
DEKALB-PEACHTREE MIDDLE ,404,731,0,664,962,0,80,89,0,49,78,0,2,1,0,34,49,0,196,268,0,3607,1981,1517,1626,42.06
DEKALB-PRINCETON ELEM,832,1099,0,26,35,0,0,2,0,10,11,0,0,2,0,8,18,0,77,77,0,2197,2136,1982,61,90.21
DEKALB-PINE LAKE (PIN),33,65,0,155,305,0,1,2,0,8,5,0,0,3,0,4,13,0,24,22,0,640,180,134,460,20.94
DEKALB-PLEASANTDALE ROAD,1074,1285,0,478,510,0,59,72,0,125,187,0,4,2,0,49,62,0,260,256,1,4424,3436,2919,988,65.98
DEKALB-PONCE DE LEON (DEC),282,443,0,703,899,0,17,20,0,16,20,0,2,1,0,21,44,0,91,97,0,2656,1054,866,1602,32.61
DEKALB-PANOLA,574,666,0,24,41,0,1,5,0,4,16,0,0,0,0,11,12,0,53,44,0,1451,1386,1289,65,88.84
DEKALB-PANOLA WAY ELEM,810,1146,0,32,28,0,0,2,0,8,8,0,0,1,0,9,17,0,69,69,0,2199,2139,2001,60,91
DEKALB-PINEY GROVE,577,791,0,212,190,0,4,4,0,11,9,0,0,0,0,11,19,0,91,82,0,2001,1599,1426,402,71.26
DEKALB-PANOLA ROAD,684,1191,0,10,13,0,2,2,0,3,12,0,0,1,0,6,17,0,72,85,0,2098,2075,1918,23,91.42
DEKALB-RAINBOW ELEM,1337,1903,0,54,55,0,6,9,0,5,12,0,2,4,0,24,28,0,102,114,2,3657,3548,3330,109,91.06
DEKALB-REDAN ELEM,1156,1413,0,20,23,0,3,7,0,13,15,0,1,1,0,23,26,0,110,119,0,2930,2887,2658,43,90.72
DEKALB-REHOBOTH,173,220,0,650,777,0,40,41,0,30,35,0,3,4,0,16,20,0,82,88,1,2180,753,582,1427,26.7
DEKALB-ROCKBRIDGE,1261,1616,1,161,205,0,7,16,0,8,33,0,1,4,0,20,38,0,119,131,2,3623,3257,3005,366,82.94
DEKALB-ROCK CHAPEL ELEM,938,1318,0,38,46,0,5,9,0,10,11,0,3,1,0,10,23,0,90,119,0,2621,2537,2328,84,88.82
DEKALB-ROWLAND ELEM,1261,1724,0,111,155,0,12,13,0,19,30,0,1,4,0,22,39,0,131,122,5,3649,3383,3125,266,85.64
DEKALB-REDAN-TROTTI LIBRARY,1382,1976,1,37,30,0,3,6,0,7,11,0,1,0,0,21,27,0,132,142,2,3778,3711,3435,67,90.92
DEKALB-ROCKBRIDGE ROAD,1282,1653,0,73,90,0,3,7,0,10,15,0,0,0,0,18,36,0,107,140,0,3434,3271,3024,163,88.06
DEKALB-ROWLAND ROAD,725,811,0,115,115,0,15,19,0,5,6,0,2,0,0,13,25,0,70,66,1,1988,1758,1621,230,81.54
DEKALB-REDAN ROAD,995,1378,1,42,55,0,2,3,0,10,14,0,1,3,0,12,15,0,85,93,0,2709,2612,2434,97,89.85
DEKALB-ROCK CHAPEL ROAD,1242,1636,2,126,125,0,4,16,0,12,20,0,1,1,0,25,28,0,119,142,1,3500,3249,2987,251,85.34
DEKALB-REDAN MIDDLE,900,1178,0,45,70,0,4,7,0,3,6,0,0,1,0,12,23,0,76,92,0,2417,2302,2134,115,88.29
DEKALB-RENFROE MIDDLE (DEC),150,255,0,500,592,0,9,14,0,8,17,0,0,1,0,8,14,0,63,74,0,1705,613,476,1092,27.92
DEKALB-SAGAMORE HILLS ELEM,48,56,0,1127,1328,1,58,83,0,36,24,0,0,0,0,16,14,0,99,91,0,2981,525,335,2456,11.24
DEKALB-SCOTT,126,168,0,871,1036,0,41,54,0,20,32,0,1,1,0,16,25,0,120,130,0,2641,734,484,1907,18.33
DEKALB-SHAW-ROBERT SHAW ,742,1049,0,578,705,0,44,32,0,42,43,0,4,3,0,27,46,0,153,152,0,3620,2337,2032,1283,56.13
DEKALB-STONE MOUNTAIN ELEM,511,680,0,323,514,0,7,11,0,6,19,0,0,0,0,11,17,0,93,60,0,2252,1415,1262,837,56.04
DEKALB-SILVER LAKE (BHAVN),194,290,0,1620,1803,0,40,71,0,51,75,0,6,3,0,53,40,0,250,256,1,4753,1330,823,3423,17.32
DEKALB-SKYLAND (BHAVN),87,70,0,733,683,0,39,31,0,52,33,0,1,1,0,14,16,0,113,88,0,1961,545,344,1416,17.54
DEKALB-SNAPFINGER ELEM,698,892,0,30,41,0,1,4,0,7,11,0,1,0,0,3,11,0,52,49,2,1802,1731,1628,71,90.34
DEKALB-SMOKE RISE,263,304,0,593,663,0,33,38,0,11,8,0,2,1,0,14,16,0,69,68,0,2083,827,690,1256,33.13
DEKALB-STN MTN MIDDLE,1056,1565,0,123,138,0,17,10,0,18,34,0,0,2,0,25,49,0,110,136,1,3284,3023,2776,261,84.53
DEKALB-STONE MILL ELEM,1232,1791,0,117,136,0,14,21,0,27,46,0,1,2,0,29,35,0,130,141,4,3726,3473,3198,253,85.83
DEKALB-SHADOW ROCK ELEM,1513,2054,0,52,60,0,11,12,0,10,7,0,2,2,0,22,50,0,120,130,0,4045,3933,3683,112,91.05
DEKALB-STONEVIEW ELEM,568,944,0,63,60,0,0,3,0,14,25,0,1,1,0,9,16,0,71,66,0,1841,1718,1581,123,85.88
DEKALB-SALEM MIDDLE,1303,1714,1,21,34,0,1,2,0,3,5,0,0,1,0,15,20,0,103,123,1,3347,3292,3065,55,91.57
DEKALB-SHAMROCK,57,89,0,556,644,0,47,46,0,6,12,0,2,1,0,21,20,0,63,75,0,1639,439,301,1200,18.36
DEKALB-SOUTH DESHON,1174,1825,0,32,41,0,2,7,0,5,24,0,1,3,0,27,28,0,103,117,3,3392,3319,3096,73,91.27
DEKALB-STONE MTN CHAMPION ,961,1330,0,142,163,0,10,17,0,20,29,0,3,5,0,29,32,0,107,98,0,2946,2641,2436,305,82.69
DEKALB-STONE MTN LIBRARY  ,437,638,0,197,219,0,5,5,0,9,17,0,0,0,0,15,12,0,52,56,0,1662,1246,1138,416,68.47
DEKALB-SNAPFINGER ROAD N,900,1217,0,57,74,0,4,3,0,7,7,0,0,0,0,15,11,0,86,71,1,2453,2322,2164,131,88.22
DEKALB-SNAPFINGER ROAD S,748,950,1,27,38,0,1,2,0,1,2,0,0,0,0,4,13,0,55,53,0,1895,1830,1722,65,90.87
DEKALB-STEPHENSON MIDDLE,1316,1685,0,97,102,0,3,5,0,13,17,0,1,1,0,22,41,0,129,130,0,3562,3363,3104,199,87.14
DEKALB-SOUTH HAIRSTON,1336,1794,1,68,67,0,3,7,0,9,17,0,2,1,0,28,25,0,126,129,1,3614,3479,3223,135,89.18
DEKALB-STEPHENSON HIGH,1245,1580,1,87,95,0,10,7,0,7,10,0,1,1,0,27,44,0,121,113,2,3351,3169,2933,182,87.53
DEKALB-TERRY MILL,865,1134,0,202,183,0,5,8,0,13,20,0,1,0,0,14,20,0,112,104,0,2681,2296,2080,385,77.58
DEKALB-TONEY ELEM,639,793,0,39,46,0,1,1,0,1,10,0,0,1,0,12,9,0,49,56,0,1657,1572,1467,85,88.53
DEKALB-TUCKER,150,167,0,1060,1163,0,53,68,0,45,60,0,2,1,0,24,31,0,106,117,0,3047,824,601,2223,19.72
DEKALB-TILLY MILL ROAD (DUN),23,22,0,579,704,0,14,28,0,12,18,0,1,0,0,18,17,0,70,58,0,1564,281,153,1283,9.78
DEKALB-TUCKER LIBRARY,325,488,0,641,794,0,67,62,0,32,47,0,1,2,0,25,38,0,130,129,0,2781,1346,1087,1435,39.09
DEKALB-VALLEY BROOK,70,93,0,294,350,0,21,32,0,16,14,0,2,0,0,10,13,0,48,48,0,1011,367,271,644,26.81
DEKALB-WADSWORTH,1152,1470,0,61,100,0,2,6,0,7,9,0,1,0,0,13,22,0,101,93,1,3038,2877,2682,161,88.28
DEKALB-WESLEY CHAPEL ,1153,1527,0,22,36,0,2,1,0,5,17,0,0,1,0,11,16,0,88,84,1,2964,2906,2733,58,92.21
DEKALB-WHITEFOORD ELEM (ATL),712,1056,0,866,773,0,24,37,0,33,34,0,2,0,0,38,36,0,245,228,0,4084,2445,1972,1639,48.29
DEKALB-WOODROW ROAD,2017,3351,1,105,130,0,7,7,0,19,27,0,5,0,0,41,67,0,226,248,2,6253,6018,5542,235,88.63
DEKALB-WINNONA PARK ELEM ,125,156,0,723,878,0,11,32,0,19,13,0,0,1,0,21,31,0,66,66,0,2142,541,409,1601,19.09
DEKALB-WOODRIDGE ELEM,1216,1700,0,77,108,0,20,15,0,12,20,0,3,0,0,24,42,0,127,122,1,3487,3302,3052,185,87.53
DEKALB-WARREN TECH,185,204,0,357,368,0,26,32,0,37,44,0,1,0,0,15,16,0,75,74,0,1434,709,560,725,39.05
DEKALB-WOODWARD (BHAVN),268,347,0,650,629,0,63,61,0,41,36,0,1,2,0,25,48,0,157,183,0,2511,1232,892,1279,35.52
DEKALB-WHITE OAK,1097,1415,1,44,40,0,2,4,0,12,16,0,0,0,0,15,36,0,109,118,3,2912,2828,2598,84,89.22
DEKALB-WINTERS CHAPEL (DUN),42,51,0,512,581,0,31,42,0,13,22,0,2,0,0,10,11,0,59,60,0,1436,343,224,1093,15.6
DEKALB-WYNBROOKE ELEM,1226,1524,1,111,122,0,10,8,0,12,16,0,0,0,0,20,41,0,122,139,1,3353,3120,2858,233,85.24
DEKALB-YOUNG ROAD,691,921,0,32,32,0,1,1,0,9,16,0,0,0,0,12,23,0,65,69,1,1873,1809,1674,64,89.38
DEKALB-Total,119730,161074,41,80407,91155,7,5784,6599,8,4347,5361,5,241,285,1,3770,5103,1,22041,22001,159,528120,356551,312350,171569,59.14
DODGE-CHAUN,37,48,0,135,157,0,0,0,0,1,3,0,0,0,0,1,0,0,6,3,0,391,99,90,292,23.02
DODGE-CLARK,1,1,0,45,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,96,3,2,93,2.08
DODGE-EDDIN,124,166,0,329,343,1,0,0,0,1,1,0,1,1,0,0,1,0,23,14,0,1005,332,295,673,29.35
DODGE-EMPIR,10,13,0,195,202,0,0,1,0,0,1,0,0,0,0,0,0,0,10,2,0,434,37,25,397,5.76
DODGE-JAYBI,25,44,0,73,65,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,215,77,70,138,32.56
DODGE-JONES,11,11,0,198,211,0,0,0,0,2,2,0,0,0,0,0,0,0,6,8,0,449,40,26,409,5.79
DODGE-LEE,625,1034,0,1308,1552,1,10,9,0,12,14,0,1,1,0,7,7,0,66,75,0,4722,1861,1720,2861,36.43
DODGE-MCCRA,21,29,0,116,126,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,297,55,51,242,17.17
DODGE-MILAN,29,25,0,111,153,0,0,1,0,0,1,0,0,0,0,0,0,0,2,3,1,326,62,56,264,17.18
DODGE-MITCH,32,31,0,143,139,0,0,1,0,2,0,0,0,0,0,0,0,0,5,4,0,357,75,66,282,18.49
DODGE-MULLI,53,70,0,176,182,0,0,1,0,0,3,0,0,1,0,0,0,0,4,3,0,493,135,128,358,25.96
DODGE-PLAIN,14,23,0,182,172,0,0,1,0,2,0,0,0,0,0,1,0,0,11,4,0,410,56,41,354,10
DODGE-PONDT,64,93,0,235,273,1,2,2,0,0,1,0,0,0,0,2,0,0,4,7,0,684,175,164,509,23.98
DODGE-RAWLI,69,105,0,328,352,0,2,3,0,4,3,0,0,0,0,1,4,0,8,14,0,893,213,191,680,21.39
DODGE-VILUL,10,5,0,75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,167,18,15,149,8.98
DODGE-YONKE,6,12,0,105,101,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,232,26,19,206,8.19
DODGE-Total,1131,1710,0,3754,4150,3,15,19,0,24,31,0,2,3,0,12,12,0,156,148,1,11171,3264,2959,7907,26.49
DOOLY-LILLY,123,168,0,133,138,0,0,0,0,4,2,0,0,0,0,0,1,0,6,3,0,578,307,298,271,51.56
DOOLY-BYROMVILLE,145,200,0,145,147,0,3,2,0,8,10,0,0,0,0,3,2,0,6,10,0,681,389,373,292,54.77
DOOLY-UNADILLA,331,472,1,370,399,0,3,2,0,12,24,0,0,0,0,4,6,0,28,25,1,1678,909,855,769,50.95
DOOLY-VIENNA,593,834,0,570,667,0,10,9,0,15,17,0,0,1,0,2,4,0,27,28,0,2777,1540,1485,1237,53.47
DOOLY-PINEHURST,56,78,0,162,160,0,1,1,0,0,1,0,0,0,0,2,0,0,4,6,0,471,149,139,322,29.51
DOOLY-Total,1248,1752,1,1380,1511,0,17,14,0,39,54,0,0,1,0,11,13,0,71,72,1,6185,3294,3150,2891,50.93
DOUGHERTY-PALMYRA METH CHURCH,408,598,15,677,775,1,6,12,0,10,7,0,2,1,0,12,5,0,67,55,5,2656,1203,1076,1453,40.51
DOUGHERTY-SHERWOOD ELEM ,632,1012,13,606,871,1,17,18,0,15,24,0,1,3,0,16,21,0,62,73,4,3389,1911,1772,1478,52.29
DOUGHERTY-COVENANT CHURCH,404,547,9,582,709,3,7,4,0,9,11,1,0,1,0,5,5,0,38,41,3,2379,1085,1003,1294,42.16
DOUGHERTY-GREENBRIAR CHURCH,609,849,2,1083,1207,1,21,20,0,18,17,0,0,4,0,16,18,0,54,60,2,3981,1690,1574,2291,39.54
DOUGHERTY-WESTOVER HIGH ,610,972,5,764,959,0,18,25,0,6,11,0,1,1,0,5,11,0,71,60,5,3524,1801,1665,1723,47.25
DOUGHERTY-MERRY ACRES MIDDLE,342,464,7,718,887,2,8,10,0,9,10,0,0,2,0,9,5,0,32,41,2,2548,941,866,1607,33.99
DOUGHERTY-DARTON COLLEGE,1147,1816,17,456,483,1,0,5,0,9,6,0,0,0,0,7,14,0,64,72,5,4102,3162,3021,940,73.65
